City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
161,Shingu,JP,2021-12-05 13:46:15,33.7333,135.9833,50.2,71,99,5.66
162,Esso,RU,2021-12-05 13:46:15,55.9333,158.7,1.09,91,85,9.86
163,Severo-Kurilsk,RU,2021-12-05 13:46:15,50.6789,156.125,28.98,64,96,27.83
164,Mizdah,LY,2021-12-05 13:46:16,31.4451,12.9801,58.71,22,0,16.82
165,Tyrma,RU,2021-12-05 13:46:16,50.0833,132.1667,7.23,96,100,2.68
166,Verkh-Chebula,RU,2021-12-05 13:46:16,56.0308,87.6218,26.24,85,97,18.84
167,Felanitx,ES,2021-12-05 13:46:16,39.4696,3.1483,56.01,61,100,28.86
168,Esperance,AU,2021-12-05 13:46:17,-33.8667,121.9,62.44,82,100,10.76
169,Mafinga,TZ,2021-12-05 13:46:17,-7.25,35.0667,80.71,44,100,8.34
170,Hilo,US,2021-12-05 13:42:40,19.7297,-155.09,73.13,87,40,6.91
171,Demba,CD,2021-12-05 13:46:17,-5.51,22.2667,85.42,52,72,6.44
172,Castro,BR,2021-12-05 13:46:18,-24.7911,-50.0119,80.01,45,6,2.53
173,Falcoiu,RO,2021-12-05 13:46:18,44.2333,24.3667,39.99,71,19,3.51
174,Caravelas,BR,2021-12-05 13:46:18,-17.7125,-39.2481,84.09,56,25,7.34
175,Havelock,US,2021-12-05 13:46:18,34.8791,-76.9013,57.97,87,97,5.99
176,Ancud,CL,2021-12-05 13:46:19,-41.8697,-73.8203,63.93,68,6,5.99
177,Tres Arroyos,AR,2021-12-05 13:46:19,-38.3739,-60.2798,67.05,54,31,5.17
178,Karanja,IN,2021-12-05 13:46:19,20.4833,77.4833,74.16,46,0,3.15
179,Myitkyina,MM,2021-12-05 13:46:19,25.3833,97.4,65.3,77,3,1.54
180,Fortuna,US,2021-12-05 13:46:20,40.5982,-124.1573,47.98,94,90,0.0
181,Balakhninskiy,RU,2021-12-05 13:46:20,58.0106,114.2769,0.77,95,100,3.71
182,Viedma,AR,2021-12-05 13:47:20,-40.8135,-62.9967,75.92,33,0,11.07
183,Puerto Ayora,EC,2021-12-05 13:47:20,-0.7393,-90.3518,70.07,84,78,8.77
184,Zhanaozen,KZ,2021-12-05 13:47:21,43.3,52.8,44.11,52,100,13.27
185,Kochubeyevskoye,RU,2021-12-05 13:47:21,44.6442,41.8453,49.12,49,94,0.81
186,Socorro,US,2021-12-05 13:47:21,31.6546,-106.3033,55.89,58,20,4.61
187,Hulan,CN,2021-12-05 13:47:21,45.9833,126.6,32.11,93,52,9.82
188,Carutapera,BR,2021-12-05 13:47:22,-1.195,-46.02,83.73,75,37,9.35
189,Vaiano,IT,2021-12-05 13:47:22,43.949,11.1232,55.09,79,75,8.05
190,Katherine,AU,2021-12-05 13:47:22,-14.4667,132.2667,77.32,88,100,9.22
191,Warri,NG,2021-12-05 13:47:23,5.5167,5.75,86.38,61,100,7.92
192,Chicama,PE,2021-12-05 13:47:23,-7.8447,-79.1469,63.14,75,99,5.39
193,Svetlyy,RU,2021-12-05 13:47:23,54.675,20.1347,33.85,94,100,12.86
194,Valday,RU,2021-12-05 13:47:23,57.9747,33.2525,7.79,92,99,7.67
195,Pevek,RU,2021-12-05 13:47:24,69.7008,170.3133,-12.77,88,100,0.92
196,Belmonte,BR,2021-12-05 13:47:24,-15.8631,-38.8828,84.2,65,20,6.24
197,Isetskoye,RU,2021-12-05 13:47:24,56.4858,65.3226,32.77,98,100,8.03
198,Nanortalik,GL,2021-12-05 13:47:24,60.1432,-45.2371,29.57,77,100,35.41
199,Provideniya,RU,2021-12-05 13:47:25,64.3833,-173.3,32.16,97,100,22.03
200,Narsaq,GL,2021-12-05 13:47:25,60.9167,-46.05,28.62,85,100,25.97
201,Harer,ET,2021-12-05 13:47:25,9.3094,42.1258,69.87,24,9,13.98
202,Guane,CU,2021-12-05 13:47:25,22.2025,-84.0875,73.87,73,4,8.37
203,Malanje,AO,2021-12-05 13:47:26,-9.5402,16.341,88.18,74,75,6.91
204,Estelle,US,2021-12-05 13:47:26,29.8458,-90.1067,63.0,88,40,0.0
