City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
186,Sebinkarahisar,TR,40.2883,38.4236,35.02,66,44,5.23,scattered clouds
187,Vicuna,CL,-30.0319,-70.7081,72.99,51,0,3.29,clear sky
188,Bereda,ES,43.2686,-7.5406,51.58,100,99,3.87,overcast clouds
189,Lorengau,PG,-2.0226,147.2712,83.95,79,97,16.51,moderate rain
190,Resistencia,AR,-27.4606,-58.9839,80.58,62,0,5.75,clear sky
191,Alyangula,AU,-13.8483,136.4192,87.93,59,64,4.38,broken clouds
192,Ilo,PE,-17.6394,-71.3375,66.76,86,87,4.23,light rain
193,Kahului,US,20.8947,-156.47,82.42,79,75,8.05,light rain
194,Saskylakh,RU,71.9167,114.0833,-15.18,96,98,6.87,overcast clouds
195,Laguna,US,38.421,-121.4238,54.64,91,90,0.0,mist
196,Omboue,GA,-1.5746,9.2618,75.25,92,100,4.29,overcast clouds
197,Naranjal,EC,-2.6667,-79.6167,81.54,83,100,4.21,overcast clouds
198,Alta Floresta,BR,-9.8756,-56.0861,73.51,96,88,1.3,overcast clouds
199,Upata,VE,8.0086,-62.3989,70.11,96,59,3.8,broken clouds
200,Harper,LR,4.375,-7.7169,79.09,85,58,9.48,broken clouds
201,Bac Giang,VN,21.2667,106.2,53.67,54,1,3.29,clear sky
202,Tarko-Sale,RU,64.9225,77.785,-14.78,87,77,12.26,broken clouds
203,Pevek,RU,69.7008,170.3133,-12.08,92,100,12.88,overcast clouds
204,Novopokrovka,UA,49.8425,36.5477,35.98,93,100,13.58,overcast clouds
205,Alofi,NU,-19.0595,-169.9187,75.09,94,75,16.11,light intensity drizzle
206,Clyde River,CA,70.4692,-68.5914,10.63,79,100,16.11,overcast clouds
207,Maniitsoq,GL,65.4167,-52.9,23.23,54,100,17.18,light snow
208,Port Blair,IN,11.6667,92.75,77.97,68,81,13.65,broken clouds
209,Farmington,US,36.7281,-108.2187,52.11,28,1,0.0,clear sky
210,Beringovskiy,RU,63.05,179.3167,-4.41,84,83,9.15,broken clouds
